Primary_Domain,Count,Percent
Unclassified,12974,47.24
Criminal Law,7658,27.88
Constitutional Law,2013,7.33
Property Law,1402,5.11
Arbitration / Commercial,1141,4.15
Service Law,962,3.5
Tax Law,900,3.28
Family Law,413,1.5
