Primary_Domain,Count,Percent
Unclassified,8839,45.04
Criminal Law,6018,30.66
Constitutional Law,1400,7.13
Property Law,1123,5.72
Arbitration / Commercial,943,4.8
Tax Law,599,3.05
Service Law,528,2.69
Family Law,176,0.9
