Primary_Domain,Count,Percent
Unclassified,9395,41.6
Criminal Law,6634,29.38
Constitutional Law,1672,7.4
Service Law,1464,6.48
Property Law,1341,5.94
Arbitration / Commercial,1020,4.52
Tax Law,639,2.83
Family Law,418,1.85
