Primary_Domain,Count,Percent
Unclassified,10975,44.85
Criminal Law,6973,28.5
Constitutional Law,1943,7.94
Arbitration / Commercial,1623,6.63
Service Law,1159,4.74
Property Law,1122,4.59
Tax Law,592,2.42
Family Law,82,0.34
