Primary_Domain,Count,Percent
Unclassified,8667,41.98
Criminal Law,6877,33.31
Constitutional Law,1198,5.8
Service Law,1078,5.22
Arbitration / Commercial,1060,5.13
Property Law,974,4.72
Tax Law,595,2.88
Family Law,198,0.96
